# latent-dirac positron yield table v1
# generator = engine/positrongen
# geant4_version = $Name: geant4-11-04-patch-02 [MT]$
# physics_list = FTFP_BERT
# datasets = G4NDL4.7.1,G4EMLOW8.8,PhotonEvaporation6.1.2,RadioactiveDecay6.1.2,G4PARTICLEXS4.2,G4PII1.3,RealSurface2.2,G4SAIDDATA2.0,G4ABLA3.3,G4INCL1.3,G4ENSDFSTATE3.0,G4CHANNELING2.0
# patches = none
# primary = e-
# primary_kinetic_mev = 10
# n_primaries = 10000000
# target = tungsten disc r_mm=5 half_length_mm=1
# columns = x_m,y_m,z_m,px_gev_c,py_gev_c,pz_gev_c
-0.000615573,0.000836619,0.001,-0.000617238,-0.00051331,0.00181735
-0.00328756,-0.00376722,0.000228355,-0.00125649,-0.00179849,2.65869e-05
5.94503e-05,0.000488803,0.001,8.28007e-05,0.000594994,0.00117604
-0.000317097,-0.00015325,0.001,0.0019939,0.00112673,0.00167729
-0.00380706,-0.00324134,0.000666079,0.00112352,-0.000333686,-0.00307702
-0.000994509,0.00220212,-0.001,4.26494e-05,0.000844553,-0.000101661
0.000110424,-0.00117797,0.001,0.00174781,0.00184607,0.00159452
0.00071482,0.000260117,0.001,0.000788702,-0.000537967,0.0010872
-0.00307242,0.000100599,0.001,0.000117273,0.00224599,0.00116311
-0.000427888,0.000655994,0.001,0.00117294,0.000137246,0.00122919
0.00301522,0.000368889,-0.001,-0.000597752,0.00125526,-0.000310738
-8.68366e-05,-0.000768764,0.001,-0.000436745,-0.00148135,0.000951166
0.00107734,0.000468908,0.001,0.00170172,0.00126664,0.00231758
-0.000987846,-0.000961675,-0.001,-4.9913e-05,0.000721692,-0.00079891
5.51959e-05,-0.000141888,0.001,0.00144498,-0.000457917,0.002562
-0.00135346,3.00781e-05,0.001,-0.000984841,0.00212805,0.000590933
0.000962379,-0.00133094,0.001,-0.000688863,0.000202713,0.00105849
0.00112312,0.00088128,0.001,0.000572272,0.00129444,0.0041023
-0.000995571,-0.000704032,-0.001,0.00183369,0.00207996,-0.000551601
0.000410904,-0.00062393,0.001,-7.26372e-05,-0.00190873,0.00179205
-0.000246452,-0.000385582,0.001,-0.00116988,-0.00242179,0.00130895
-0.000684076,-0.0006266,0.001,-0.000130035,-2.27709e-05,0.00041336
0.000221132,-0.000172026,0.001,-0.000242655,0.00127302,0.00149284
0.000135721,0.000876679,-0.001,0.000128434,0.000862552,-0.00344659
-0.000693128,-0.000467854,0.001,-6.71253e-05,0.000277792,0.000340159
0.000589724,-0.00106446,0.001,0.000622401,-0.0015003,0.00047135
0.000870738,-0.00160134,0.001,-0.000155968,0.000827463,0.000862019
-9.57842e-05,-2.38242e-05,0.001,-0.00122501,-0.00316942,0.00347477
0.00129607,-0.000968703,-0.001,-0.00230803,0.000877251,-0.00114374
-0.00110135,0.00270376,0.001,0.000876718,-0.000203993,0.000878762
0.00143122,0.000705905,0.001,0.00079657,0.000128901,0.00144155
-0.00152753,-0.000644364,0.001,0.000226403,-0.00126768,0.00256328
0.000283791,-0.000256752,0.001,0.00189061,-0.00169547,0.00206902
0.000434359,-0.00114546,0.001,0.00260362,-0.00157382,0.00153165
0.000263689,-0.00116948,0.001,9.09388e-05,-0.000545369,0.00155963
-0.000973102,-0.00385322,-0.001,1.35069e-05,8.66313e-05,-0.000426561
-0.0032983,-0.00375782,-0.000723278,-0.00328471,0.000206442,-0.00382393
0.00169932,0.000729774,0.001,-0.000426753,0.000588071,0.00149804
-0.000630658,0.00163841,0.001,0.000442363,0.000504885,0.000203375
-0.000752867,-7.50122e-05,0.001,-0.000680516,0.00180733,0.00259418
-0.00265477,0.00100198,-0.001,0.00153356,2.36491e-05,-0.00137767
0.00137762,-0.000269125,0.001,0.00312619,0.0029143,0.000639326
0.000763177,2.72807e-05,0.001,0.00264491,0.00225883,0.0024832
-0.00290571,0.00148319,-0.001,-0.00214376,0.000396312,-0.00161099
-0.000214256,0.000676405,0.001,0.00206666,0.000752877,0.00182517
-0.000887341,0.00110831,0.001,-0.00114276,0.000298928,0.00101372
-0.00344461,0.00300346,0.001,0.000769038,-0.000606055,0.00145265
0.0012964,-0.000390769,0.001,0.000552443,8.71436e-05,0.00233351
0.0031537,0.00379479,0.001,-0.00073682,-0.000794257,0.00324376
0.0006753,0.000111842,0.001,0.000293026,-0.000944021,0.00230691
0.000532039,-0.000383288,0.001,0.00469503,-0.00268685,0.00253948
0.000308852,0.00036907,0.001,0.00016519,0.000203986,-0.00068971
-0.000176464,0.00085694,-0.001,0.000789594,0.000757563,-0.00197615
-0.000513607,-0.00045223,-0.001,-0.00389608,-0.000928928,-0.00291273
-0.000162181,0.000222863,0.001,0.00103309,0.000832213,0.00521956
0.00415385,0.00128596,0.001,0.00199562,0.000342931,0.00148673
0.000303833,-0.00093479,0.001,-0.000793106,-0.000562044,0.00134086
0.000124707,9.50884e-05,0.001,0.00165145,0.00149504,0.00495737
0.000740993,0.00402504,-0.001,0.000180765,-0.000100775,-0.00103837
0.000812874,-0.00122826,-0.001,0.00123713,-0.000457893,-0.00109616
-0.000129302,0.000298894,0.001,0.00375116,-0.000253266,-0.00286892
0.00103312,0.000980108,0.001,5.85673e-05,0.00107604,0.000997252
7.00115e-05,3.52163e-05,0.001,0.00323628,-0.00188715,0.00593192
-0.000921992,0.000168242,0.001,-0.000912865,-7.8183e-05,0.00461449
-0.00114396,-0.000845918,0.001,0.000235749,-0.000859678,0.000469758
0.000469138,0.000438826,0.001,0.00237185,0.000641823,0.001159
0.000283345,-0.00266029,0.001,0.000485761,-0.00232819,0.00416143
0.000302938,0.000731364,0.001,0.000653628,0.00220595,0.00161136
-0.000939858,0.000470072,0.001,-0.000484896,-0.00137013,0.00083196
-0.00351115,0.00130344,0.001,-0.000700316,-8.62921e-05,0.0010713
-0.000447992,-0.000660204,-0.001,-0.00376454,-0.00143433,-0.000182867
-9.05509e-05,4.99312e-05,0.001,0.00506837,-0.000161154,0.00477988
0.000427322,0.000979071,0.001,0.00250149,0.000547105,0.00520082
0.000946284,-0.000514253,0.001,0.00262218,-0.00330595,0.00193103
-0.00117331,4.5166e-05,0.001,-0.000399397,-0.00061254,0.00124015
-0.00106188,0.0011564,0.001,0.00293499,-0.00167041,0.00225007
-0.00144175,0.000470039,0.001,-0.00221126,0.00141111,0.00157043
-0.00117171,0.00107842,0.001,0.000188225,0.00156862,0.00113959
0.000514495,0.000622265,0.001,0.00124538,0.00109404,0.00208759
-0.00488598,0.00106169,0.000247917,-0.000949522,-0.000522742,-0.000186832
0.000137318,-2.02032e-05,0.001,-0.00118867,0.000340789,0.000650373
0.00061795,0.00142871,0.001,-0.00021562,0.000201867,0.00213009
0.00102254,-0.00122857,0.001,0.000346736,-0.00245828,0.00283173
-0.000283609,-0.000759597,0.001,0.000893922,0.0010804,0.000746607
0.00114406,-0.000488629,0.001,0.00055324,0.000174515,0.000740449
0.00116039,-0.000390994,0.001,0.0001437,0.00154086,0.00356642
-0.00130644,-0.00221635,0.001,-0.00063807,-0.000517368,0.000775776
-0.000620167,-0.00248651,0.001,6.27006e-05,0.00199128,0.000761709
0.00186825,0.00132281,0.001,4.77709e-05,0.000249048,0.00092012
-0.000495157,0.000762154,0.001,0.00154422,-0.00129428,0.000477641
2.21126e-05,-0.000421068,0.001,-0.001156,-0.00270451,0.00145954
-0.00117589,0.000312156,0.001,-0.000713749,0.000363972,0.000500394
-0.00355058,0.000534657,-0.001,0.000590702,0.000603872,-0.00151087
-0.000203012,-1.18194e-06,0.001,-0.00327565,-0.00175026,0.000706395
-0.000670271,-0.000525958,0.001,-0.00383807,0.00112311,0.00567615
-0.00497361,-0.000513004,-0.000171129,-0.00077563,-6.27277e-06,-0.000209015
0.000554583,-0.00257432,0.001,0.000271977,0.000287573,0.000311953
-0.00378681,-0.00169355,-0.001,-0.000372663,-0.0029032,-0.00222589
9.45974e-05,0.000117819,0.001,0.00107036,0.000215247,0.00313924
-0.00408193,0.00288753,8.98124e-05,-0.00102031,-0.000930842,0.000932156
0.000265647,-0.0017725,0.001,0.00146973,-0.00262719,0.00105587
-0.000965376,-0.00111632,0.001,-0.00158319,-0.00127475,0.0019923
0.000219482,-9.54692e-05,0.001,-0.00290885,0.00231309,0.00347837
-0.000285475,0.00128063,0.001,-0.00166869,-0.0015102,0.000141618
-0.00107034,0.00155103,0.001,0.000329843,-0.000137477,0.00125004
0.000775158,-0.00247168,-0.001,-0.000441328,0.000356537,-0.000548207
0.00100544,-0.000584573,-0.001,-0.00139798,0.000853697,-0.00117441
-0.000519807,-0.00063723,0.001,-0.00403599,-0.00300937,0.00423552
0.000597233,9.78018e-05,0.001,0.000927857,-0.00030267,0.00216694
0.000229616,-0.000123026,0.001,0.000898818,0.000213323,0.000560938
0.000996733,0.00239261,0.001,-0.000133379,0.00127887,0.00122816
-0.00070161,-0.000166157,0.001,0.000959398,-0.000777291,-5.76441e-05
-0.000686489,-0.000182362,0.001,-0.000346586,-0.000686674,0.00088432
0.000873371,0.000807969,0.001,-0.000297898,0.000491552,6.85945e-05
-0.000553995,-8.93949e-05,0.001,0.00029626,-0.00125897,0.00136542
